,model_a,model_b,winner
0,chatglm-6b,koala-13b,model_b
1,oasst-pythia-12b,alpaca-13b,model_a
2,koala-13b,oasst-pythia-12b,model_a
3,vicuna-13b,oasst-pythia-12b,model_a
4,vicuna-13b,koala-13b,model_a
5,vicuna-13b,koala-13b,tie
6,vicuna-13b,koala-13b,model_a
7,vicuna-13b,dolly-v2-12b,model_a
8,stablelm-tuned-alpha-7b,oasst-pythia-12b,model_a
9,koala-13b,vicuna-13b,model_a
10,koala-13b,vicuna-13b,model_a
11,oasst-pythia-12b,koala-13b,model_b
12,alpaca-13b,dolly-v2-12b,model_a
13,oasst-pythia-12b,koala-13b,model_b
14,vicuna-13b,koala-13b,model_b
15,koala-13b,vicuna-13b,model_b
16,vicuna-13b,koala-13b,model_a
17,koala-13b,llama-13b,model_b
18,vicuna-13b,koala-13b,tie
19,llama-13b,dolly-v2-12b,model_b
20,vicuna-13b,stablelm-tuned-alpha-7b,model_a
21,oasst-pythia-12b,koala-13b,model_b
22,vicuna-13b,koala-13b,model_a
23,dolly-v2-12b,koala-13b,model_b
24,vicuna-13b,oasst-pythia-12b,model_b
25,oasst-pythia-12b,chatglm-6b,model_b
26,oasst-pythia-12b,llama-13b,model_a
27,koala-13b,vicuna-13b,model_b
28,oasst-pythia-12b,vicuna-13b,tie
29,vicuna-13b,koala-13b,model_b
30,vicuna-13b,koala-13b,model_b
31,chatglm-6b,koala-13b,model_b
32,vicuna-13b,oasst-pythia-12b,model_b
33,koala-13b,vicuna-13b,model_b
34,oasst-pythia-12b,dolly-v2-12b,model_b
35,alpaca-13b,vicuna-13b,model_b
36,vicuna-13b,oasst-pythia-12b,model_a
37,llama-13b,koala-13b,model_b
38,koala-13b,vicuna-13b,model_b
39,koala-13b,oasst-pythia-12b,model_b
40,oasst-pythia-12b,llama-13b,model_b
41,koala-13b,chatglm-6b,model_a
42,koala-13b,vicuna-13b,model_a
43,vicuna-13b,alpaca-13b,model_a
44,vicuna-13b,dolly-v2-12b,model_a
45,vicuna-13b,oasst-pythia-12b,model_a
46,oasst-pythia-12b,vicuna-13b,model_b
47,vicuna-13b,dolly-v2-12b,
48,koala-13b,vicuna-13b,tie
49,vicuna-13b,alpaca-13b,tie
50,koala-13b,vicuna-13b,model_a
51,vicuna-13b,stablelm-tuned-alpha-7b,model_a
52,koala-13b,oasst-pythia-12b,model_a
53,vicuna-13b,koala-13b,tie
54,alpaca-13b,koala-13b,model_a
55,koala-13b,vicuna-13b,model_b
56,chatglm-6b,oasst-pythia-12b,model_a
57,oasst-pythia-12b,koala-13b,model_b
58,vicuna-13b,llama-13b,model_a
59,vicuna-13b,koala-13b,model_a
60,vicuna-13b,alpaca-13b,model_b
61,vicuna-13b,koala-13b,tie
62,vicuna-13b,dolly-v2-12b,model_a
63,koala-13b,chatglm-6b,model_a
64,oasst-pythia-12b,koala-13b,model_b
65,vicuna-13b,koala-13b,model_b
66,alpaca-13b,oasst-pythia-12b,model_b
67,koala-13b,vicuna-13b,model_b
68,vicuna-13b,koala-13b,model_b
69,vicuna-13b,koala-13b,model_a
70,vicuna-13b,koala-13b,model_a
