,question,model_a,model_b
0,Can you tell me about a time when John Dahlback's music had a significant impact on people's lives?,gpt-35-turbo,gpt-4-turbo
1,"Do cops try to come up with clever phrases to say when they catch somebody in the wrong and if so, what is the funniest or most clever thing you have seen a cop say to a law breaker?",gpt-35-turbo,gpt-4-turbo
2,"If you could change one thing about the movie ""Joker"", what would it be?",gpt-35-turbo,gpt-4-turbo
3,What are some of the challenges Gina Carano faced in her acting career?,gpt-4-turbo,gpt-35-turbo
4,"Did Leonard Nimoy's loss, did it change the way Star Trek was filmed and produced?",gpt-35-turbo,gpt-4-turbo
5,Write an introductory paragraph for a two topic essay which has this thesis sentence: My experiences and observations of my brother and sister have shaped my understanding of the complexities of sibling relationships.,gpt-4-turbo,gpt-35-turbo
6,"I think my next door neighbor has hacked into my laptop - I'm guessing through my WiFi. I'm not interested in confrontation, I just want to make my laptop secure and private. What steps should I take?",gpt-4-turbo,gpt-35-turbo
7,Write a program to find the nth Fibonacci number using dynamic programming.,gpt-4-turbo,gpt-35-turbo
8,What factors contributed to Bebo becoming one of the fastest falling social media platforms?,gpt-4-turbo,gpt-35-turbo
9,"How can I write the disk-image of a Linux computer with the ""dd"" command and send image another computer directly over ethernet",gpt-4-turbo,gpt-35-turbo
10,"can you explain the Expected response during an OGTT, both in people with and without type 2 diabetes and involve glucose in the answer?",gpt-4-turbo,gpt-35-turbo
11,"Analyze the text below for style, voice, and tone. Using NLP, create a prompt to write a new article in the same style, voice, and tone: To do this well, you've got to find clarity on your niche.

Understand the algorithms, the computer one and the human mind, too.

Find a crew to grow with you, give you feedback, keep you motivated.

And get into a groove with content so that you can make magic happen.",gpt-35-turbo,gpt-4-turbo
12,explain why a black background with some blue color text gif animation weighs less than a full color video like gif with the same length and the same resolution,gpt-4-turbo,gpt-35-turbo
13,"If we have a union of complex types in an avro schema do we always get member0, member1, etc?",gpt-4-turbo,gpt-35-turbo
14,"There are two atoms of hydrogen and one atom of
oxygen in one molecule of water. How many atoms
of hydrogen are there in 72 molecules of water?",gpt-35-turbo,gpt-4-turbo
15,"Salvage & Wreck Removal
Collisions & Groundings
Marine Engineering
Cargo
Strength & Stability
Passenger Vessels
Ports & Harbours
Technical Due Diligence
Fishing Vessels
Marine Warranty Survey
Incident Reconstructions , write short notes on each , define and state uses cases and processes",gpt-35-turbo,gpt-4-turbo
16,What pictures illustrate the difference between the British and Americans?,gpt-35-turbo,gpt-4-turbo
17,Why should I watch the Expanse? It looks like a boring soap opera in space.,gpt-35-turbo,gpt-4-turbo
18,Why should you meditate?,gpt-35-turbo,gpt-4-turbo
19,Who is the most underrated fashion designer working today?,gpt-35-turbo,gpt-4-turbo
20,Write a one sentence summary of why people are afraid of artificial intelligence,gpt-4-turbo,gpt-35-turbo
21,Can you name a few American Idol winners who have gone on to have successful careers in music?,gpt-4-turbo,gpt-35-turbo
22,"I'm kicking off a software development project for a company that ships food nationwide. The goal is to enable our finance team to view the ""standard margin"" for each individual product. This would mean we can estimate the margin for each unit sold, and then compare that estimated ""standard margin"" to our actual ""net margin"" once all the orders are fulfilled and the bills are paid. I want to name the project something more fun than ""Standard Product Margins"", so I need a list of some great names for the project that are relevant to our food shipping business. Please give me a list to start with.",gpt-35-turbo,gpt-4-turbo
23,What are some Indian destinations that look like international destinations?,gpt-35-turbo,gpt-4-turbo
24,What's the day-to-day life of a Pope like?,gpt-4-turbo,gpt-35-turbo
25,What do you think about the educational content in Disney Junior's programming?,gpt-4-turbo,gpt-35-turbo
26,Please write a short note wishing speedy recovery to an elementary teacher that is abruptly taking a health leave. Write it from a perspective of a parent of one of the kids in her class.,gpt-35-turbo,gpt-4-turbo
27,"Do people's think Joseph Kony is still active, or he's disappeared?",gpt-4-turbo,gpt-35-turbo
28,Can you tell me about the user experience of the Samsung Nexus Prime?,gpt-35-turbo,gpt-4-turbo
29,"Which training is more hellish, the US Army basic training or the US Navy boot camp?",gpt-35-turbo,gpt-4-turbo
