,model_a,model_b,winner
0,chatglm-6b,koala-13b,model_b
1,oasst-pythia-12b,alpaca-13b,tie
2,koala-13b,oasst-pythia-12b,model_b
3,vicuna-13b,oasst-pythia-12b,model_b
4,vicuna-13b,koala-13b,model_a
5,vicuna-13b,koala-13b,model_a
6,vicuna-13b,koala-13b,model_a
7,vicuna-13b,dolly-v2-12b,model_a
8,stablelm-tuned-alpha-7b,oasst-pythia-12b,model_a
9,koala-13b,vicuna-13b,tie
10,koala-13b,vicuna-13b,model_a
11,oasst-pythia-12b,koala-13b,model_b
12,alpaca-13b,dolly-v2-12b,model_a
13,oasst-pythia-12b,koala-13b,model_a
14,vicuna-13b,koala-13b,model_b
15,koala-13b,vicuna-13b,model_b
16,vicuna-13b,koala-13b,tie
17,koala-13b,llama-13b,model_b
18,vicuna-13b,koala-13b,model_a
19,llama-13b,dolly-v2-12b,model_b
20,vicuna-13b,stablelm-tuned-alpha-7b,model_a
21,oasst-pythia-12b,koala-13b,model_b
22,vicuna-13b,koala-13b,tie
23,dolly-v2-12b,koala-13b,model_b
24,vicuna-13b,oasst-pythia-12b,tie
25,oasst-pythia-12b,chatglm-6b,tie
26,oasst-pythia-12b,llama-13b,model_a
27,koala-13b,vicuna-13b,tie
28,oasst-pythia-12b,vicuna-13b,model_a
29,vicuna-13b,koala-13b,tie
30,vicuna-13b,koala-13b,model_a
31,chatglm-6b,koala-13b,model_b
32,vicuna-13b,oasst-pythia-12b,model_b
33,koala-13b,vicuna-13b,model_a
34,oasst-pythia-12b,dolly-v2-12b,model_b
35,alpaca-13b,vicuna-13b,model_b
36,vicuna-13b,oasst-pythia-12b,model_b
37,llama-13b,koala-13b,tie
38,koala-13b,vicuna-13b,model_a
39,koala-13b,oasst-pythia-12b,model_b
40,oasst-pythia-12b,llama-13b,tie
41,koala-13b,chatglm-6b,model_a
42,koala-13b,vicuna-13b,model_a
43,vicuna-13b,alpaca-13b,tie
44,vicuna-13b,dolly-v2-12b,model_b
45,vicuna-13b,oasst-pythia-12b,model_a
46,oasst-pythia-12b,vicuna-13b,model_b
47,vicuna-13b,dolly-v2-12b,model_a
48,koala-13b,vicuna-13b,model_b
49,vicuna-13b,alpaca-13b,model_b
50,koala-13b,vicuna-13b,tie
51,vicuna-13b,stablelm-tuned-alpha-7b,model_b
52,koala-13b,oasst-pythia-12b,tie
53,vicuna-13b,koala-13b,tie
54,alpaca-13b,koala-13b,model_b
55,koala-13b,vicuna-13b,model_b
56,chatglm-6b,oasst-pythia-12b,model_a
57,oasst-pythia-12b,koala-13b,model_b
58,vicuna-13b,llama-13b,model_a
59,vicuna-13b,koala-13b,model_b
60,vicuna-13b,alpaca-13b,model_b
61,vicuna-13b,koala-13b,model_b
62,vicuna-13b,dolly-v2-12b,model_a
63,koala-13b,chatglm-6b,model_a
64,oasst-pythia-12b,koala-13b,model_b
65,vicuna-13b,koala-13b,model_b
66,alpaca-13b,oasst-pythia-12b,model_b
67,koala-13b,vicuna-13b,model_b
68,vicuna-13b,koala-13b,model_a
69,vicuna-13b,koala-13b,model_a
70,vicuna-13b,koala-13b,model_b
71,chatglm-6b,vicuna-13b,model_b
72,vicuna-13b,llama-13b,model_a
73,koala-13b,oasst-pythia-12b,model_b
74,oasst-pythia-12b,vicuna-13b,model_b
75,vicuna-13b,koala-13b,tie
76,vicuna-13b,koala-13b,model_b
77,vicuna-13b,oasst-pythia-12b,model_a
78,vicuna-13b,koala-13b,model_a
79,llama-13b,koala-13b,tie
80,vicuna-13b,dolly-v2-12b,model_a
81,vicuna-13b,koala-13b,model_b
82,koala-13b,vicuna-13b,model_b
83,vicuna-13b,koala-13b,model_a
84,vicuna-13b,oasst-pythia-12b,model_a
85,koala-13b,stablelm-tuned-alpha-7b,tie
86,koala-13b,llama-13b,tie
87,llama-13b,koala-13b,model_b
88,oasst-pythia-12b,vicuna-13b,model_b
89,vicuna-13b,oasst-pythia-12b,model_b
90,vicuna-13b,koala-13b,tie
91,stablelm-tuned-alpha-7b,llama-13b,model_a
92,vicuna-13b,alpaca-13b,model_a
93,vicuna-13b,koala-13b,tie
94,vicuna-13b,dolly-v2-12b,model_a
95,oasst-pythia-12b,stablelm-tuned-alpha-7b,model_a
96,koala-13b,vicuna-13b,model_b
97,dolly-v2-12b,vicuna-13b,model_b
98,koala-13b,vicuna-13b,tie
99,vicuna-13b,alpaca-13b,model_a
100,vicuna-13b,koala-13b,model_a
101,vicuna-13b,koala-13b,tie
102,dolly-v2-12b,vicuna-13b,model_b
103,llama-13b,koala-13b,model_b
104,oasst-pythia-12b,vicuna-13b,tie
105,koala-13b,stablelm-tuned-alpha-7b,model_a
106,chatglm-6b,vicuna-13b,model_b
107,koala-13b,vicuna-13b,model_a
108,oasst-pythia-12b,vicuna-13b,model_b
109,alpaca-13b,stablelm-tuned-alpha-7b,model_a
110,vicuna-13b,dolly-v2-12b,tie
111,vicuna-13b,chatglm-6b,tie
112,dolly-v2-12b,oasst-pythia-12b,model_b
113,vicuna-13b,dolly-v2-12b,model_a
114,dolly-v2-12b,vicuna-13b,model_b
115,oasst-pythia-12b,koala-13b,tie
116,vicuna-13b,koala-13b,model_a
117,koala-13b,alpaca-13b,tie
118,dolly-v2-12b,alpaca-13b,model_a
119,koala-13b,vicuna-13b,model_b
120,oasst-pythia-12b,koala-13b,model_b
121,vicuna-13b,koala-13b,model_a
122,dolly-v2-12b,chatglm-6b,model_a
123,vicuna-13b,chatglm-6b,model_a
124,koala-13b,oasst-pythia-12b,model_a
125,vicuna-13b,alpaca-13b,model_a
126,koala-13b,vicuna-13b,model_a
127,vicuna-13b,stablelm-tuned-alpha-7b,model_b
128,chatglm-6b,vicuna-13b,tie
129,vicuna-13b,koala-13b,model_b
130,vicuna-13b,koala-13b,tie
131,vicuna-13b,dolly-v2-12b,model_a
132,koala-13b,vicuna-13b,model_a
133,koala-13b,vicuna-13b,tie
134,vicuna-13b,koala-13b,model_b
135,koala-13b,vicuna-13b,model_b
136,alpaca-13b,vicuna-13b,model_a
137,alpaca-13b,koala-13b,tie
138,alpaca-13b,dolly-v2-12b,model_a
139,vicuna-13b,koala-13b,tie
140,oasst-pythia-12b,vicuna-13b,tie
141,stablelm-tuned-alpha-7b,vicuna-13b,model_b
142,chatglm-6b,vicuna-13b,model_b
143,koala-13b,alpaca-13b,tie
144,alpaca-13b,vicuna-13b,model_b
145,alpaca-13b,koala-13b,model_b
146,dolly-v2-12b,vicuna-13b,model_b
147,koala-13b,oasst-pythia-12b,model_a
148,vicuna-13b,oasst-pythia-12b,model_a
