,model_a,model_b,winner
0,gpt-4-turbo,huggyllama/llama-13b,model_a
1,gpt-4-turbo,huggyllama/llama-13b,model_a
2,huggyllama/llama-13b,gpt-4-turbo,model_b
3,gpt-4-turbo,huggyllama/llama-13b,model_a
4,gpt-4-turbo,huggyllama/llama-13b,model_a
5,gpt-4-turbo,huggyllama/llama-13b,model_a
6,huggyllama/llama-13b,gpt-4-turbo,model_b
7,huggyllama/llama-13b,gpt-4-turbo,model_b
8,huggyllama/llama-13b,gpt-4-turbo,model_b
9,gpt-4-turbo,huggyllama/llama-13b,model_a
10,gpt-4-turbo,huggyllama/llama-13b,model_a
11,gpt-4-turbo,huggyllama/llama-13b,model_a
12,gpt-4-turbo,huggyllama/llama-13b,model_a
13,huggyllama/llama-13b,gpt-4-turbo,model_b
14,huggyllama/llama-13b,gpt-4-turbo,model_b
15,huggyllama/llama-13b,gpt-4-turbo,model_b
16,huggyllama/llama-13b,gpt-4-turbo,model_b
17,gpt-4-turbo,huggyllama/llama-13b,model_a
18,gpt-4-turbo,huggyllama/llama-13b,model_a
19,huggyllama/llama-13b,gpt-4-turbo,model_b
20,gpt-4-turbo,huggyllama/llama-13b,model_a
21,huggyllama/llama-13b,gpt-4-turbo,model_b
22,huggyllama/llama-13b,gpt-4-turbo,model_b
23,huggyllama/llama-13b,gpt-4-turbo,model_b
24,gpt-4-turbo,huggyllama/llama-13b,model_a
25,huggyllama/llama-13b,gpt-4-turbo,model_b
26,huggyllama/llama-13b,gpt-4-turbo,model_b
27,gpt-4-turbo,huggyllama/llama-13b,model_a
28,huggyllama/llama-13b,gpt-4-turbo,model_b
29,gpt-4-turbo,huggyllama/llama-13b,model_a
30,gpt-4-turbo,huggyllama/llama-13b,model_a
31,gpt-4-turbo,huggyllama/llama-13b,model_a
32,huggyllama/llama-13b,gpt-4-turbo,model_b
33,gpt-4-turbo,huggyllama/llama-13b,model_a
34,huggyllama/llama-13b,gpt-4-turbo,model_b
35,huggyllama/llama-13b,gpt-4-turbo,model_b
36,gpt-4-turbo,huggyllama/llama-13b,model_a
37,gpt-4-turbo,huggyllama/llama-13b,
38,gpt-4-turbo,huggyllama/llama-13b,model_a
39,huggyllama/llama-13b,gpt-4-turbo,model_b
40,gpt-4-turbo,huggyllama/llama-13b,model_a
41,gpt-4-turbo,huggyllama/llama-13b,model_a
42,huggyllama/llama-13b,gpt-4-turbo,model_b
43,huggyllama/llama-13b,gpt-4-turbo,model_b
44,gpt-4-turbo,huggyllama/llama-13b,model_a
45,huggyllama/llama-13b,gpt-4-turbo,model_b
46,huggyllama/llama-13b,gpt-4-turbo,model_b
47,huggyllama/llama-13b,gpt-4-turbo,model_b
48,gpt-4-turbo,huggyllama/llama-13b,model_a
49,gpt-4-turbo,huggyllama/llama-13b,model_a
50,gpt-4-turbo,huggyllama/llama-13b,model_a
51,huggyllama/llama-13b,gpt-4-turbo,model_b
52,gpt-4-turbo,huggyllama/llama-13b,model_a
53,huggyllama/llama-13b,gpt-4-turbo,model_b
54,gpt-4-turbo,huggyllama/llama-13b,model_a
55,gpt-4-turbo,huggyllama/llama-13b,model_a
56,gpt-4-turbo,huggyllama/llama-13b,model_a
57,gpt-4-turbo,huggyllama/llama-13b,model_a
58,gpt-4-turbo,huggyllama/llama-13b,model_a
59,huggyllama/llama-13b,gpt-4-turbo,model_b
60,gpt-4-turbo,huggyllama/llama-13b,model_a
61,huggyllama/llama-13b,gpt-4-turbo,model_b
62,gpt-4-turbo,huggyllama/llama-13b,model_a
63,huggyllama/llama-13b,gpt-4-turbo,model_b
64,huggyllama/llama-13b,gpt-4-turbo,model_b
65,huggyllama/llama-13b,gpt-4-turbo,model_b
66,huggyllama/llama-13b,gpt-4-turbo,model_b
67,huggyllama/llama-13b,gpt-4-turbo,model_b
68,gpt-4-turbo,huggyllama/llama-13b,model_a
69,huggyllama/llama-13b,gpt-4-turbo,model_b
70,huggyllama/llama-13b,gpt-4-turbo,model_b
71,huggyllama/llama-13b,gpt-4-turbo,model_b
72,huggyllama/llama-13b,gpt-4-turbo,model_b
73,huggyllama/llama-13b,gpt-4-turbo,model_b
74,gpt-4-turbo,huggyllama/llama-13b,model_a
75,gpt-4-turbo,huggyllama/llama-13b,model_a
76,gpt-4-turbo,huggyllama/llama-13b,model_a
77,gpt-4-turbo,huggyllama/llama-13b,model_a
78,huggyllama/llama-13b,gpt-4-turbo,model_b
79,huggyllama/llama-13b,gpt-4-turbo,model_b
80,gpt-4-turbo,huggyllama/llama-13b,model_a
81,huggyllama/llama-13b,gpt-4-turbo,model_b
82,huggyllama/llama-13b,gpt-4-turbo,model_b
83,gpt-4-turbo,huggyllama/llama-13b,model_a
84,huggyllama/llama-13b,gpt-4-turbo,model_b
85,huggyllama/llama-13b,gpt-4-turbo,model_b
86,gpt-4-turbo,huggyllama/llama-13b,model_a
87,gpt-4-turbo,huggyllama/llama-13b,model_a
88,huggyllama/llama-13b,gpt-4-turbo,model_b
89,gpt-4-turbo,huggyllama/llama-13b,model_a
90,huggyllama/llama-13b,gpt-4-turbo,model_b
91,gpt-4-turbo,huggyllama/llama-13b,model_a
92,huggyllama/llama-13b,gpt-4-turbo,model_b
93,huggyllama/llama-13b,gpt-4-turbo,model_b
94,gpt-4-turbo,huggyllama/llama-13b,model_a
95,huggyllama/llama-13b,gpt-4-turbo,model_b
96,gpt-4-turbo,huggyllama/llama-13b,model_a
97,gpt-4-turbo,huggyllama/llama-13b,model_a
98,huggyllama/llama-13b,gpt-4-turbo,model_b
99,gpt-4-turbo,huggyllama/llama-13b,model_a
100,huggyllama/llama-13b,gpt-4-turbo,model_b
101,huggyllama/llama-13b,gpt-4-turbo,model_b
102,gpt-4-turbo,huggyllama/llama-13b,model_a
103,huggyllama/llama-13b,gpt-4-turbo,model_b
104,huggyllama/llama-13b,gpt-4-turbo,model_b
105,gpt-4-turbo,huggyllama/llama-13b,model_a
106,gpt-4-turbo,huggyllama/llama-13b,model_a
107,gpt-4-turbo,huggyllama/llama-13b,model_a
108,gpt-4-turbo,huggyllama/llama-13b,model_a
109,gpt-4-turbo,huggyllama/llama-13b,model_a
